SessionID;StudentLevel;Discipline;SessionDate;SessionLengthMin;TotalPrompts;TaskType;AI_AssistanceLevel;FinalOutcome;UsedAgain;SatisfactionRating
SESSION00001;Undergraduate;Computer Science;03/11/2024;312;11;Studying;2;Assignment Completed;VERDADERO;10
SESSION00002;Undergraduate;Psychology;25/08/2024;1309;6;Studying;3;Assignment Completed;VERDADERO;20
SESSION00003;Undergraduate;Business;12/01/2025;1922;5;Coding;3;Assignment Completed;VERDADERO;33
SESSION00004;Undergraduate;Computer Science;06/05/2025;37;1;Coding;3;Assignment Completed;VERDADERO;35
SESSION00005;Undergraduate;Psychology;18/03/2025;2812;9;Writing;3;Assignment Completed;VERDADERO;29
SESSION00006;Graduate;Business;17/01/2025;754;1;Coding;5;Idea Drafted;VERDADERO;50
SESSION00007;High School;Biology;07/09/2024;146;3;Writing;3;Assignment Completed;FALSO;19
SESSION00008;Undergraduate;Biology;26/12/2024;92;3;Writing;5;Assignment Completed;VERDADERO;39
SESSION00009;Undergraduate;Business;18/06/2025;815;1;Brainstorming;3;Assignment Completed;VERDADERO;33
SESSION00010;Undergraduate;Math;14/04/2025;557;1;Studying;3;Assignment Completed;FALSO;14
SESSION00011;High School;Math;24/02/2025;2452;6;Writing;2;Assignment Completed;FALSO;19
SESSION00012;Undergraduate;Psychology;07/11/2024;1151;5;Coding;3;Assignment Completed;FALSO;39
SESSION00013;Undergraduate;History;05/07/2024;1547;6;Studying;5;Idea Drafted;VERDADERO;49
SESSION00014;Undergraduate;Business;03/11/2024;2413;5;Writing;4;Idea Drafted;VERDADERO;37
SESSION00015;High School;Computer Science;21/05/2025;2251;8;Writing;3;Assignment Completed;VERDADERO;49
SESSION00016;High School;Psychology;22/11/2024;2216;6;Coding;2;Idea Drafted;VERDADERO;28
SESSION00017;Undergraduate;Business;27/04/2025;646;2;Writing;5;Confused;VERDADERO;50
SESSION00018;High School;Biology;13/04/2025;1836;4;Studying;2;Confused;FALSO;12
SESSION00019;Undergraduate;Math;08/12/2024;1826;4;Studying;5;Assignment Completed;FALSO;49
SESSION00020;High School;Engineering;03/08/2024;1936;6;Studying;4;Assignment Completed;VERDADERO;35
SESSION00021;Undergraduate;Engineering;03/05/2025;2679;11;Brainstorming;3;Idea Drafted;VERDADERO;44
SESSION00022;Undergraduate;Business;09/01/2025;1111;2;Homework Help;5;Assignment Completed;FALSO;49
SESSION00023;Undergraduate;Biology;21/04/2025;1987;8;Studying;2;Idea Drafted;VERDADERO;31
SESSION00024;Undergraduate;Math;05/05/2025;1765;4;Coding;3;Gave Up;FALSO;36
SESSION00025;Graduate;Psychology;27/11/2024;81;3;Homework Help;5;Idea Drafted;VERDADERO;43
SESSION00026;Undergraduate;Biology;14/09/2024;1186;2;Writing;2;Idea Drafted;VERDADERO;32
SESSION00027;Undergraduate;History;28/08/2024;642;2;Homework Help;4;Idea Drafted;VERDADERO;40
SESSION00028;High School;Math;05/09/2024;2755;7;Writing;3;Confused;VERDADERO;35
